,Entity,Year,Country code,Health Expenditure per capita (WDI),Life Expectancy (at birth) World Bank data,DollarValueOfLife
42,Afghanistan,2002,AFG,77.56287367,55.67187805,1.39321460649
43,Afghanistan,2003,AFG,91.86710113,56.10756098,1.63733905957
44,Afghanistan,2004,AFG,90.12334463,56.56973171,1.59313721147
45,Afghanistan,2005,AFG,94.0450155,57.05843902,1.64822271894
46,Afghanistan,2006,AFG,98.52758427,57.57065854,1.71142013603
47,Afghanistan,2007,AFG,109.0147975,58.09136585,1.87660930166
48,Afghanistan,2008,AFG,126.2195502,58.60709756,2.15365639069
49,Afghanistan,2009,AFG,130.8972801,59.11234146,2.21438158034
50,Afghanistan,2010,AFG,138.9132558,59.60009756,2.33075551026
51,Afghanistan,2011,AFG,144.2951939,60.06536585,2.40230275564
52,Afghanistan,2012,AFG,159.0973587,60.50912195,2.62931197104
53,Afghanistan,2013,AFG,161.2170073,60.93141463,2.6458766513
89,Albania,1995,ALB,263.6915463,72.23602439,3.65041609816
90,Albania,1996,ALB,228.958674,72.52741463,3.15685696461
91,Albania,1997,ALB,213.5747704,72.89809756,2.9297715242
92,Albania,1998,ALB,223.6162266,73.32658537,3.04959279737
93,Albania,1999,ALB,247.5756772,73.79339024,3.35498445585
94,Albania,2000,ALB,248.4406893,74.27207317,3.34500813962
95,Albania,2001,ALB,262.2988864,74.73421951,3.50975614812
96,Albania,2002,ALB,298.087612,75.15795122,3.96614871961
97,Albania,2003,ALB,313.0527795,75.52936585,4.14478231052
98,Albania,2004,ALB,349.3376212,75.839,4.60630574243
99,Albania,2005,ALB,366.8307252,76.08939024,4.82104961077
100,Albania,2006,ALB,396.275366,76.29053659,5.19429255203
101,Albania,2007,ALB,438.2417653,76.46485366,5.73128364632
102,Albania,2008,ALB,480.5710063,76.63231707,6.27112717812
103,Albania,2009,ALB,504.6795201,76.80187805,6.57118722763
104,Albania,2010,ALB,458.7373519,76.9785122,5.95929096042
105,Albania,2011,ALB,518.5883107,77.16321951,6.72066710012
106,Albania,2012,ALB,506.3071895,77.35046341,6.54562580726
107,Albania,2013,ALB,539.2819736,77.5372439,6.95513467432
143,Algeria,1995,DZA,249.7667511,67.84819512,3.68125858998
144,Algeria,1996,DZA,233.6043267,68.07892683,3.4313749875
