Entity,Year,"Country code","Health Expenditure per capita (WDI)","Life Expectancy (at birth) World Bank data"
Afghanistan,1960,AFG,,31.58004878
Afghanistan,1961,AFG,,32.09597561
Afghanistan,1962,AFG,,32.61187805
Afghanistan,1963,AFG,,33.12731707
Afghanistan,1964,AFG,,33.6412439
Afghanistan,1965,AFG,,34.15368293
Afghanistan,1966,AFG,,34.66312195
Afghanistan,1967,AFG,,35.17007317
Afghanistan,1968,AFG,,35.67202439
Afghanistan,1969,AFG,,36.16997561
Afghanistan,1970,AFG,,36.65943902
Afghanistan,1971,AFG,,37.13941463
Afghanistan,1972,AFG,,37.60887805
Afghanistan,1973,AFG,,38.06934146
Afghanistan,1974,AFG,,38.52329268
Afghanistan,1975,AFG,,38.97026829
Afghanistan,1976,AFG,,39.41073171
Afghanistan,1977,AFG,,39.84770732
Afghanistan,1978,AFG,,40.29068293
Afghanistan,1979,AFG,,40.74817073
Afghanistan,1980,AFG,,41.23365854
Afghanistan,1981,AFG,,41.76063415
Afghanistan,1982,AFG,,42.33560976
Afghanistan,1983,AFG,,42.96304878
Afghanistan,1984,AFG,,43.6444878
Afghanistan,1985,AFG,,44.37990244
Afghanistan,1986,AFG,,45.16880488
Afghanistan,1987,AFG,,45.99721951
Afghanistan,1988,AFG,,46.85014634
Afghanistan,1989,AFG,,47.71158537
Afghanistan,1990,AFG,,48.56704878
Afghanistan,1991,AFG,,49.40456098
Afghanistan,1992,AFG,,50.21312195
Afghanistan,1993,AFG,,50.9852439
Afghanistan,1994,AFG,,51.70939024
Afghanistan,1995,AFG,,52.37507317
Afghanistan,1996,AFG,,52.97278049
Afghanistan,1997,AFG,,53.5084878
Afghanistan,1998,AFG,,53.99219512
Afghanistan,1999,AFG,,54.43287805
Afghanistan,2000,AFG,,54.84856098
Afghanistan,2001,AFG,,55.25621951
Afghanistan,2002,AFG,77.56287367,55.67187805
Afghanistan,2003,AFG,91.86710113,56.10756098
Afghanistan,2004,AFG,90.12334463,56.56973171
Afghanistan,2005,AFG,94.0450155,57.05843902
Afghanistan,2006,AFG,98.52758427,57.57065854
Afghanistan,2007,AFG,109.0147975,58.09136585
Afghanistan,2008,AFG,126.2195502,58.60709756
Afghanistan,2009,AFG,130.8972801,59.11234146
Afghanistan,2010,AFG,138.9132558,59.60009756
Afghanistan,2011,AFG,144.2951939,60.06536585
Afghanistan,2012,AFG,159.0973587,60.50912195
Afghanistan,2013,AFG,161.2170073,60.93141463
Albania,1960,ALB,,62.25436585
Albania,1961,ALB,,63.27346341
Albania,1962,ALB,,64.16285366
Albania,1963,ALB,,64.88709756
Albania,1964,ALB,,65.43819512
Albania,1965,ALB,,65.82739024
Albania,1966,ALB,,66.08931707
Albania,1967,ALB,,66.28721951
Albania,1968,ALB,,66.47495122
Albania,1969,ALB,,66.68160976
Albania,1970,ALB,,66.93258537
Albania,1971,ALB,,67.23887805
Albania,1972,ALB,,67.58595122
Albania,1973,ALB,,67.95795122
Albania,1974,ALB,,68.34834146
Albania,1975,ALB,,68.74121951
Albania,1976,ALB,,69.1155122
Albania,1977,ALB,,69.45617073
Albania,1978,ALB,,69.7542439
Albania,1979,ALB,,70.00965854
Albania,1980,ALB,,70.23597561
Albania,1981,ALB,,70.45446341
Albania,1982,ALB,,70.68512195
Albania,1983,ALB,,70.93739024
Albania,1984,ALB,,71.20653659
Albania,1985,ALB,,71.47121951
Albania,1986,ALB,,71.69756098
Albania,1987,ALB,,71.86195122
Albania,1988,ALB,,71.95329268
Albania,1989,ALB,,71.97858537
Albania,1990,ALB,,71.95731707
Albania,1991,ALB,,71.91841463
Albania,1992,ALB,,71.90080488
Albania,1993,ALB,,71.93585366
Albania,1994,ALB,,72.04195122
Albania,1995,ALB,263.6915463,72.23602439
Albania,1996,ALB,228.958674,72.52741463
Albania,1997,ALB,213.5747704,72.89809756
Albania,1998,ALB,223.6162266,73.32658537
Albania,1999,ALB,247.5756772,73.79339024
Albania,2000,ALB,248.4406893,74.27207317
Albania,2001,ALB,262.2988864,74.73421951
Albania,2002,ALB,298.087612,75.15795122
Albania,2003,ALB,313.0527795,75.52936585
Albania,2004,ALB,349.3376212,75.839
Albania,2005,ALB,366.8307252,76.08939024
Albania,2006,ALB,396.275366,76.29053659
Albania,2007,ALB,438.2417653,76.46485366
Albania,2008,ALB,480.5710063,76.63231707
Albania,2009,ALB,504.6795201,76.80187805
Albania,2010,ALB,458.7373519,76.9785122
Albania,2011,ALB,518.5883107,77.16321951
Albania,2012,ALB,506.3071895,77.35046341
Albania,2013,ALB,539.2819736,77.5372439
Algeria,1960,DZA,,46.13512195
Algeria,1961,DZA,,46.59031707
Algeria,1962,DZA,,47.045
Algeria,1963,DZA,,47.49619512
Algeria,1964,DZA,,47.94190244
